1-ORF,2-Gene Name,3-Description,4-Localization,5-Cell morphology,6-Mitochondria morphology,7-YPD,8-SD,9-YPG,10-KO*,11-Short-Categorical result,12-Long-Categorical result,13-Short-% decrease with IAA,14-Long-% decrease with IAA,15-Short-0min-signal,16-Short-0min-StD,17-Short-0min-n,18-Short-30min-signal,19-Short-30min-StD,20-Short-30min-n,21-Long-0h-signal,22-Long-0h-StD,23-Long-0h-n,24-Long-24h-signal,25-Long-24h-StD,26-Long-24h-n,27-Mito Signal,28-Mito StD,29-Mito n,

YGR161C,RTS3,Putative component of the protein phosphatase type 2A complex,"cytoplasm,nucleus",Normal,Normal,1.05,1.279,1.19,viable ,No Fluorescence detected,Responsive,Not calculated,23,146,7,1411,137,6,2446,229,17,1189,176,13,1160,141,19,1183,

YLR262C-A,TMA7,"Protein of unknown function that associates with ribosomes; null mutant exhibits translation defects, altered polyribosome profiles, and resistance to the translation inhibitor anisomcyin; protein abundance increases in response to DNA replication stress","cytoplasm,nucleus",Normal,Normal,1.079,1.24,1.253,viable ,Responsive,Responsive,21,40,151,8,2411,141,7,2724,235,21,1910,184,12,1374,135,14,1370,

YIL083C,CAB2,"Phosphopantothenoylcysteine synthetase (PPCS); catalyzes the second step of coenzyme A biosynthesis from pantothenate; subunit of the CoA-Synthesizing Protein Complex (CoA-SPC) that contains: Cab2p, Cab3p, Cab4p, Cab5p, Sis2p and Vhs3p subunits; null mutant lethality is complemented by human homolog PPCS and by E. coli coaBC, a bifunctional enzyme with PPCS activity","cytoplasm,nucleus",Abnormal,Abnormal,0.016,0.036,0.094,inviable ,No Fluorescence detected,Responsive,Not calculated,Not calculated,151,8,1670,142,8,2090,233,16,2083,220,57,366,249,223,372,

YER079W,YER079W,Putative protein of unknown function,"cytoplasm,nucleus",Normal,Normal,1.12,1.154,1.251,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,150,7,1532,143,8,2076,223,14,1349,177,13,799,143,18,811,

YLR016C,PML1,Subunit of the RES complex; RES complex is required for nuclear retention of unspliced pre-mRNAs; acts in the same pathway as Pml39p and Mlp1p,"cytoplasm,nucleus",Normal,Normal,1.149,1.187,1.366,viable ,No Fluorescence detected,Responsive,Not calculated,45,151,6,2145,142,6,2417,234,15,2048,180,14,1271,139,17,1226,

YJR147W,HMS2,"Protein with similarity to heat shock transcription factors; overexpression suppresses the pseudohyphal filamentation defect of a diploid mep1 mep2 homozygous null mutant; HMS2 has a paralog, SKN7, that arose from the whole genome duplication","cytoplasm,nucleus",Normal,Normal,1.116,1.176,1.349,viable ,Responsive,Responsive,19,50,154,8,2227,143,8,2637,250,17,2066,186,13,1429,136,15,1451,

YJR055W,HIT1,"Protein involved in C/D snoRNP assembly; critical for formation of small nucleolar ribonucleoprotein complexes that are required for rRNA processing and 2'-O-methylation; regulates abundance of Rsa1p; required for growth at high temperature; mutations in human homolog ZNHIT3 cause PEHO syndrome, a ribosomopathy characterized by extreme cerebellar atrophy ","cytoplasm,nucleus",Normal,Normal,0.569,0.944,0.906,viable ,No Fluorescence detected,Partially responsive,Not calculated,7,166,8,3036,155,7,1544,235,15,1865,202,12,1347,130,10,1355,

YDL021W,GPM2,"Nonfunctional homolog of Gpm1p phosphoglycerate mutase; if functional, would convert 3-phosphoglycerate to 2-phosphoglycerate in glycolysis; GPM2 has a paralog, GPM3, that arose from the whole genome duplication","cytoplasm,nucleus",Normal,Normal,1.246,1.135,1.082,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,144,7,1972,131,8,2808,223,14,546,181,12,365,143,17,373,

YBR261C,TAE1,AdoMet-dependent proline methyltransferase; catalyzes the dimethylation of ribosomal proteins Rpl12 and Rps25 at N-terminal proline residues; has a role in protein synthesis; fusion protein localizes to the cytoplasm,cytoplasm,Normal,Normal,1.279,1.128,1.109,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,154,7,2285,146,8,2695,217,15,1281,177,15,953,136,18,936,

YDL135C,RDI1,Rho GDP dissociation inhibitor; involved in the localization and regulation of Cdc42p and Rho1p; protein abundance increases in response to DNA replication stress,"cytoplasm,nucleus",Normal,Normal,1.286,1.175,1.082,viable ,No Fluorescence detected,Responsive,Not calculated,49,156,9,2801,145,8,2848,256,17,3043,189,15,1304,135,15,1313,

YGL220W,BOL2,"Cytosolic protein involved in repression of iron regulon transcription; forms an iron-independent complex with Fra1p, Grx3p, and Grx4p; null mutant fails to repress the iron regulon and is sensitive to nickel; sequence similarity to human BOLA family member, BOLA2","cytoplasm,nucleus",Normal,Normal,1.13,1.136,1.193,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,154,7,2118,146,7,2811,220,15,2035,179,16,699,140,18,677,

YNR034W-A,EGO4,"Protein of unknown function; expressed during diauxic shift and stationary phase, and negatively regulated by glucose; expression is regulated by Msn2p/Msn4p; overexpression slows down progression through meiosis and improves fermentative efficiency; YNR034W-A has a paralog, YCR075W-A, that arose from the whole genome duplication",cytoplasm,Normal,Normal,1.15,1.188,1.151,N/A,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,157,8,1365,150,8,2173,221,15,2234,184,14,1149,135,15,1139,

YGR248W,SOL4,"6-phosphogluconolactonase; protein abundance increases in response to DNA replication stress; SOL4 has a paralog, SOL3, that arose from the whole genome duplication","cytoplasm,nucleus",Normal,Normal,1.081,1.21,1.163,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,149,9,1107,142,8,1931,219,14,1664,175,17,742,140,18,731,

YAL049C,AIM2,Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor,cytoplasm,Normal,Normal,1.103,1.248,1.224,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,158,8,1288,151,8,2195,220,14,3055,177,13,681,139,20,685,

YIR036C,IRC24,Benzil oxidoreductase with preference for NADPH; localizes to the cytoplasm; induced by the DNA-damaging agent MMS; null mutant has elevated levels of spontaneous Rad52p foci; sequence similarity with short-chain dehydrogenase/reductases; putative paralog of IRC24,cytoplasm,Normal,Normal,1.053,1.172,1.311,viable ,No Fluorescence detected,Partially responsive,Not calculated,75,151,7,1453,142,6,2233,240,15,3662,165,12,592,148,24,582,

YOR274W,MOD5,"Delta 2-isopentenyl pyrophosphate:tRNA isopentenyl transferase; required for biosynthesis of isopentenyladenosine in mitochondrial and cytoplasmic tRNAs; also has a role in tRNA gene-mediated silencing; gene encodes two isozymic forms; converts to a prion form, prion conversion contributes to azole antifungal resistance by upregulating ergosterol biosynthesis; homolog of human TRIT1, a mutation in which is associated with severe combined respiratory chain defects","cytoplasm,nucleus",Normal,Normal,1.064,1.237,1.179,competitive fitness  decreased ,No Fluorescence detected,Partially responsive,Not calculated,62,154,8,1878,145,8,2496,246,16,3319,175,14,731,141,18,733,

YJR129C,EFM3,S-adenosylmethionine-dependent methyltransferase; seven-beta-strand lysine methyltransferase which trimethylates translation elongation factor EF2 (Eft1p and Eft2p) at lysine 509; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; ortholog of human gene FAM86A,cytoplasm,Normal,Normal,1.087,1.299,1.17,viable ,No Fluorescence detected,Partially responsive,Not calculated,57,148,7,1706,139,8,2674,233,15,2901,173,13,928,140,19,934,

YDR372C,VPS74,"Golgi PI4K effector, PtdIns4P sensor, and retention receptor; interacts with glycosyltransferases, and in the PtdIns4P-bound state mediates retention of these enzymes in the Golgi; PtdIns4P sensor that limits PI4K signaling and regulates lipid homeostasis, interacting with the catalytic domain of Sac1p, the major PtdIns4P phosphatase, directing dephosphosphorylation of the Golgi pool of PtdIns4P; tetramerization required for function; contributes to telomere function; ortholog of human GOLPH3","cytoplasm,nucleus",Normal,Normal,1.099,1.314,1.183,competitive fitness  decreased ,No Fluorescence detected,Responsive,Not calculated,56,152,9,1470,140,9,2628,241,23,1709,177,13,1138,136,16,1146,

YGL060W,YBP2,"Central kinetochore associated protein; mediates mitotic progression; interacts with several central kinetochore proteins and centromeric histone Cse4p; role in resistance to oxidative stress; similar to Slk19p; YBP2 has a paralog, YBP1, that arose from the whole genome duplication",cytoplasm,Normal,Normal,1.052,1.209,1.151,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,152,8,1160,142,8,2080,225,16,2178,177,14,912,141,24,914,

YHR201C,PPX1,"Exopolyphosphatase; hydrolyzes inorganic polyphosphate (poly P) into Pi residues; located in the cytosol, plasma membrane, and mitochondrial matrix","cytoplasm,nucleus",Normal,Normal,1.035,1.257,1.203,N/A,No Fluorescence detected,Partially responsive,Not calculated,38,157,10,2336,143,8,2766,235,18,815,184,13,1280,133,13,1275,

YIL074C,SER33,"3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase; 3PG dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; also functions as an alpha-ketoglutarate reductase, converting alpha-ketoglutarate to D-2-hydroxyglutarate (D-2HG); localizes to the cytoplasm; SER33 has a paralog, SER3, that arose from the whole genome duplication",cytoplasm,Normal,Normal,1.06,1.302,1.183,viable ,No Fluorescence detected,Responsive,Not calculated,52,154,9,1784,142,8,2294,243,19,2977,181,13,1343,137,16,1355,

YFL007W,BLM10,"Proteasome activator; binds the core proteasome (CP) and stimulates proteasome-mediated protein degradation by inducing gate opening; required for sequestering CP into proteasome storage granule (PSG) during quiescent phase and for nuclear import of CP in proliferating cells; required for resistance to bleomycin, may be involved in protecting against oxidative damage; similar to mammalian PA200","cytoplasm,nucleus",Normal,Normal,1.064,1.236,1.206,N/A,Responsive,Responsive,16,21,152,8,1630,144,7,2177,231,16,2228,184,14,1126,140,23,1154,

YNL200C,NNR1,"NADHX epimerase; catalyzes isomerization of (R)- and (S)-NADHX; homologous to AIBP in mammals and the N- terminal domain of YjeF in E.coli; enzyme is widespread in eukaryotes, prokaryotes and archaea; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",cytoplasm,Normal,Normal,1.078,1.188,1.192,viable ,No Fluorescence detected,Partially responsive,Not calculated,44,149,7,1054,141,7,1504,244,14,3588,186,12,1165,137,16,1197,

YOR083W,WHI5,"Repressor of G1 transcription; binds to SCB binding factor (SBF) at SCB target promoters in early G1; WHI5 expression is repressed in M/early G phase; phosphorylation of Whi5p by G1 cyclin (Cln)/Cdc28p relieves repression and promoter binding by Whi5p, drives nuclear export, and contributes to both the determination of critical cell size at START and cell fate; dephosphorylated and re-imported into the nucleus post-START during the starvation response, reversing commitment","cytoplasm,nucleus",Normal,Normal,1.108,1.101,1.465,viable ,Responsive,Responsive,21,13,151,8,2429,141,8,2783,228,15,1600,198,14,2377,128,11,2327,

YOR173W,DCS2,"m(7)GpppX pyrophosphatase regulator; non-essential, stress induced regulatory protein; modulates m7G-oligoribonucleotide metabolism; inhibits Dcs1p; regulated by Msn2p, Msn4p, and the Ras-cAMP-cAPK signaling pathway; mutant has increased aneuploidy tolerance; DCS2 has a paralog, DCS1, that arose from the whole genome duplication",cytoplasm,Normal,Normal,1.15,1.188,1.367,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,154,7,1925,147,7,2382,220,14,2534,199,12,1439,130,10,1424,

YOR197W,MCA1,"Ca2+-dependent cysteine protease; may cleave specific substrates during the stress response; regulates apoptosis upon H2O2 treatment; required for clearance of insoluble protein aggregates during normal growth; implicated in cell cycle dynamics and lifespan extension; undergoes autocatalytic processing; similar to mammalian metacaspases, but exists as a monomer due to an extra pair of anti-parallel beta-strands that block potential dimerization","cytoplasm,nucleus",Normal,Normal,1.111,1.185,1.334,viable ,No Fluorescence detected,Partially responsive,Not calculated,58,163,9,2046,151,8,2432,257,18,2704,183,13,1615,137,17,1616,

YPR111W,DBF20,"Ser/Thr kinase involved in late nuclear division; one of the mitotic exit network (MEN) proteins; necessary for the execution of cytokinesis; also plays a role in regulating the stability of SWI5 and CLB2 mRNAs; DBF20 has a paralog, DBF2, that arose from the whole genome duplication",cytoplasm,Normal,Normal,1.117,1.168,1.298,viable ,No Fluorescence detected,Responsive,Not calculated,61,159,8,2348,148,7,2326,248,16,2989,177,12,887,138,15,873,

YGL166W,CUP2,"Copper-binding transcription factor; activates transcription of the metallothionein genes CUP1-1 and CUP1-2 in response to elevated copper concentrations; required for regulation of copper genes in response to DNA-damaging reagents; CUP2 has a paralog, HAA1, that arose from the whole genome duplication","cytoplasm,nucleus",Normal,Normal,1.034,1.076,1.182,viable ,No Fluorescence detected,Partially responsive,Not calculated,58,157,8,2292,148,8,2428,240,14,2983,175,13,1317,143,20,1316,

YDL063C,SYO1,"Transport adaptor or symportin; assembly chaperone that co-translationally associates with nascent Rpl5p, preventing aggregation; facilitates synchronized nuclear coimport of two 5S-rRNA binding proteins, Rpl5p and Rpl11p, mediated by import receptor Kap104p; required for biogenesis of the large ribosomal subunit; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus","cytoplasm,nucleus",Normal,Normal,1.087,1.188,1.137,viable ,Responsive,Responsive,22,64,153,9,1529,142,6,2292,248,21,1139,175,13,475,148,25,472,

YOL032W,OPI10,Protein with a possible role in phospholipid biosynthesis; null mutant displays an inositol-excreting phenotype that is suppressed by exogenous choline; protein abundance increases in response to DNA replication stress,"cytoplasm,nucleus",Normal,Normal,1.267,1.191,1.066,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,153,7,1709,145,8,2548,224,15,1310,177,13,588,136,17,590,

YDR530C,APA2,"Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase II; AP4A phosphorylase involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; APA2 has a paralog, APA1, that arose from the whole genome duplication","cytoplasm,nucleus",Normal,Normal,1.253,1.177,1.134,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,157,7,2284,148,8,1838,241,15,2949,200,12,2666,124,9,2714,

YDR007W,TRP1,"Phosphoribosylanthranilate isomerase; catalyzes the third step in tryptophan biosynthesis; in 2004, the sequence of TRP1 from strain S228C was updated by changing the previously annotated internal STOP (TAA) to serine (TCA); enhances vegetative growth at low and high temperatures when used as an auxotrophic marker in strains such as W303","cytoplasm,nucleus",Normal,Normal,1.146,0,1.195,competitive fitness  decreased ,No Fluorescence detected,Responsive,Not calculated,Not calculated,163,8,1193,155,8,2136,220,14,2639,179,14,409,143,18,412,

YGL250W,RMR1,Protein required for meiotic recombination and gene conversion; null mutant displays reduced PIS1 expression and growth defects on non-fermentable carbon sources and minimal media; GFP-fusion protein localizes to both cytoplasm and nucleus,"cytoplasm,nucleus",Normal,Normal,1.048,1.153,0.999,competitive fitness  decreased ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,161,8,1302,154,8,2094,222,15,2124,182,16,574,141,19,570,

YNL277W,MET2,L-homoserine-O-acetyltransferase; catalyzes the conversion of homoserine to O-acetyl homoserine which is the first step of the methionine biosynthetic pathway,"cytoplasm,nucleus",Normal,Normal,1.101,1.255,1.236,viable ,No Fluorescence detected,Responsive,Not calculated,23,153,8,1727,146,8,2739,231,17,1748,177,14,380,145,22,380,

YMR311C,GLC8,Regulatory subunit of protein phosphatase 1 (Glc7p); involved in glycogen metabolism and chromosome segregation; proposed to regulate Glc7p activity via conformational alteration; ortholog of the mammalian protein phosphatase inhibitor 2; protein abundance increases in response to DNA replication stress,"cytoplasm,nucleus",Normal,Normal,1.068,1.194,1.159,viable ,No Fluorescence detected,Responsive,Not calculated,72,161,10,1449,148,8,2106,240,19,1323,167,15,515,149,24,506,

YGR091W,PRP31,Splicing factor; component of the U4/U6-U5 snRNP complex; homologous to human PRPF31 and used to study retinitis pigmentosa,"cytoplasm,nucleus",Synchronized abnormal,Abnormal,0,0,0,inviable ,Responsive,Responsive,11,Not calculated,159,8,1523,152,11,2420,223,15,2795,191,30,74,170,54,71,

YFR047C,BNA6,Quinolinate phosphoribosyl transferase; required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p,"cytoplasm,nucleus",Normal,Normal,1.103,1.245,1.253,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,145,8,975,139,8,1898,226,15,1876,165,13,764,141,19,766,

YLR032W,RAD5,"DNA helicase/Ubiquitin ligase; involved in error-free DNA damage tolerance (DDT), replication fork regression during postreplication repair by template switching, and error-prone translesion synthesis; required for UV and MMS-associated unequal sister chromatid exchange (SCE) but not for double-strand break associated unequal SCE; promotes synthesis of free and PCNA-bound polyubiquitin chains by Ubc13p-Mms2p; human homolog HLTF can complement yeast null mutant ","cytoplasm,nucleus",Normal,Normal,1.061,1.226,1.285,viable ,Responsive,Responsive,20,22,150,7,1676,140,7,2648,224,16,2201,176,12,432,139,18,441,

YPR127W,YPR127W,Putative pyridoxine 4-dehydrogenase; differentially expressed during alcoholic fermentation; expression activated by transcription factor YRM1/YOR172W; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,"cytoplasm,nucleus",Normal,Normal,1.076,1.344,1.245,viable ,No Fluorescence detected,Partially responsive,Not calculated,55,149,7,2481,141,8,2887,241,14,3458,178,12,1737,131,13,1767,

YNL262W,POL2,Catalytic subunit of DNA polymerase (II) epsilon; a chromosomal DNA replication polymerase that exhibits processivity and proofreading exonuclease activity; participates in leading-strand synthesis during DNA replication; also involved in DNA synthesis during DNA repair; interacts extensively with Mrc1p,"cytoplasm,nucleus",Abnormal,Cell morphology,0.251,0.521,0.353,inviable ,Responsive,Responsive,20,Not calculated,155,8,2205,144,8,2567,250,18,3590,180,26,57,166,99,58,

YKR075C,YKR075C,"Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication","cytoplasm,nucleus",Normal,Normal,1.058,1.283,1.229,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,158,7,2466,150,7,2557,223,14,2809,168,13,747,144,20,748,

YOL068C,HST1,"NAD(+)-dependent histone deacetylase; essential subunit of the Sum1p/Rfm1p/Hst1p complex required for ORC-dependent silencing and meiotic repression; non-essential subunit of the Set3C deacetylase complex; involved in telomere maintenance; HST1 has a paralog, SIR2, that arose from the whole genome duplication","cytoplasm,nucleus",Normal,Normal,1.048,1.226,1.15,viable ,Responsive,Responsive,18,22,152,7,2628,142,8,2339,227,18,1875,177,13,577,151,27,582,

YMR226C,ORA1,"NADP(+)-dependent serine dehydrogenase and carbonyl reductase; acts on serine, L-allo-threonine, and other 3-hydroxy acids; catalyzes the reduction of (S)-־±-acetolactate to 2,3-dimethylglycerate; short-chain dehydrogenase/reductase (SDR) family member; GFP fusion protein localizes to the cytoplasm and nucleus","cytoplasm,nucleus",Normal,Normal,1.03,1.265,1.209,viable ,No Fluorescence detected,Responsive,Not calculated,34,154,10,2127,142,8,2577,256,18,2922,200,13,2133,127,11,2186,

YER112W,LSM4,"Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA; forms cytoplasmic foci upon DNA replication stress","cytoplasm,nucleus",Abnormal,Cell morphology,0.994,1.245,1.224,inviable ,No Fluorescence detected,Responsive,Not calculated,10,152,8,1736,140,8,2005,247,18,2759,211,16,1412,130,13,1404,

YDL236W,PHO13,"Conserved phosphatase acting as a metabolite repair enzyme; shows specific dephosphorylating activity on two side-products of central carbohydrate metabolism, 2-phosphoglycolate and 4-phosphoerythronate; alkaline phosphatase specific for p-nitrophenyl phosphate; also has protein phosphatase activity; human ortholog PGP shows similar substrate specificity, deletion causes similar metabolite accumulation phenotypes, suggesting conserved role in eliminating glycolytic byproducts","cytoplasm,nucleus",Normal,Normal,1.092,1.189,1.209,competitive fitness  decreased ,No Fluorescence detected,Responsive,Not calculated,62,156,10,1674,143,8,2167,266,19,3127,183,15,1067,143,19,1065,

YIL079C,AIR1,"Zinc knuckle protein; involved in nuclear RNA processing and degradation as a component of the TRAMP complex; stimulates the poly(A) polymerase activity of Pap2p in vitro; AIR1 has a paralog, AIR2, that arose from the whole genome duplication; although Air1p and Air2p are homologous TRAMP subunits, they have nonredundant roles in regulation of substrate specificity of the exosome","cytoplasm,nucleus",Normal,Normal,1.055,1.124,1.202,viable ,Responsive,Responsive,18,54,148,8,2105,139,8,2868,258,19,3012,186,12,1140,136,14,1146,

YDR288W,NSE3,Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; protein abundance increases in response to DNA replication stress,"cytoplasm,nucleus",Synchronized abnormal,Cell morphology,0.223,0.361,0.348,inviable ,Responsive,Responsive,17,Not calculated,152,8,2059,143,8,2401,243,15,2714,205,20,480,139,33,475,

YPR051W,MAK3,"Catalytic subunit of the NatC type N-terminal acetyltransferase (NAT); involved in subcellular targeting of select N-terminally acetylated substrates to the Golgi apparatus (Arl3p and Grh1p) and the inner nuclear membrane (Trm1p); required for replication of dsRNA virus; human NatC ortholog, NAA30, functionally complements the null, requiring either auxiliary subunit Mak10p or co-expression of human ortholog, NAA35; NAA60, the human NatF gene, also complements the null allele","cytoplasm,nucleus",Normal,Normal,1.096,1.13,1.248,viable ,No Fluorescence detected,No aparent change,Not calculated,Not calculated,154,8,2439,144,8,2459,247,15,3369,204,14,2527,130,12,2522,

YOR006C,TSR3,Protein required for 20S pre-rRNA processing; involved in processing of the 20S pre-rRNA at site D to generate mature 18S rRNA; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus; relative distribution to the nucleus increases upon DNA replication stress; also detected in peroxisomes,"cytoplasm,nucleus",Normal,Normal,1.021,1.16,1.27,viable ,No Fluorescence detected,Responsive,Not calculated,23,160,9,2139,150,8,1793,222,16,2398,172,12,863,142,18,865,

YHR041C,SRB2,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; general transcription factor involved in telomere maintenance,"cytoplasm,nucleus",Normal,Normal,0.789,0.784,1.137,viable ,Responsive,Responsive,16,57,163,8,2688,153,8,1587,238,16,2376,175,14,933,157,30,935,

YML096W,YML096W,Putative protein with similarity to asparagine synthetases; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YML096W is not an essential gene and partially overlaps the verified gene RAD10,cytoplasm,Normal,Normal,1.235,1.248,1.091,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,144,8,1700,132,8,2419,229,15,2127,172,13,1093,140,19,1095,

YBR057C,MUM2,"Protein essential for meiotic DNA replication and sporulation; cytoplasmic protein; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation; also interacts with Orc2p, which is a component of the origin recognition complex",cytoplasm,Normal,Normal,1.2,1.151,1.159,viable ,No Fluorescence detected,Responsive,Not calculated,22,151,7,2887,140,7,2244,226,15,689,177,14,616,141,20,631,

YGL071W,AFT1,"Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p, Grx4p, and Fra2p, and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog, AFT2, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress","cytoplasm,nucleus",Normal,Abnormal,1.06,1.252,0,viable ,No Fluorescence detected,Responsive,Not calculated,Not calculated,152,7,1979,144,8,2602,245,16,2787,189,17,1154,141,23,1143,

YJR154W,YJR154W,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,cytoplasm,Normal,Normal,1.22,1.203,1.221,competitive fitness  decreased ,No Fluorescence detected,Responsive,Not calculated,24,152,8,1749,145,8,2486,224,14,1852,172,13,561,142,20,562,

YDR173C,ARG82,"Inositol polyphosphate multikinase (IPMK); sequentially phosphorylates Ins(1,4,5)P3 to form Ins(1,3,4,5,6)P5; also has diphosphoinositol polyphosphate synthase activity; regulates genes responsive to arginine, phosphate, and nitrogen; needed by most [PSI+] variants for prion propagation","cytoplasm,nucleus",Normal,Normal,1.25,0.294,1.218,viable ,No Fluorescence detected,Responsive,Not calculated,Not calculated,156,9,2208,147,9,2865,233,15,2729,169,11,406,144,17,415,

YOR265W,RBL2,Protein involved in microtubule morphogenesis; required for protection from excess free beta-tubulin; proposed to be involved the folding of beta-tubulin; similar to mouse beta-tubulin cofactor A; protein abundance increases in response to DNA replication stress,cytoplasm,Normal,Normal,1.171,1.191,1.204,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,152,8,1529,144,8,2433,219,14,1174,168,15,613,148,43,619,

YDR005C,MAF1,"Highly conserved negative regulator of RNA polymerase III; involved in tRNA processing and stability; inhibits tRNA degradation via rapid tRNA decay (RTD) pathway; binds N-terminal domain of Rpc160p subunit of Pol III to prevent closed-complex formation; regulated by phosphorylation mediated by TORC1, protein kinase A, Sch9p, casein kinase 2; localizes to cytoplasm during vegetative growth and translocates to nucleus and nucleolus under stress conditions","cytoplasm,nucleus",Normal,Normal,1.141,1.231,1.027,competitive fitness  decreased ,No Fluorescence detected,Responsive,Not calculated,24,160,9,1541,152,8,2329,218,16,1145,165,14,548,146,22,549,

YJL201W,ECM25,"Endocytic site protein required for stress-induced cell elongation; may link the polarization signal with the endocytic machinery to facilitate adaptive morphogenesis under conditions of stress; interacts with the polarity regulator Cdc42p, the SH3 domains of actin patch components and actin filaments; contains a Rho-GAP domain lacking the catalytic arginine finger, PXXP motifs and an xACT (F-actin binding) motif; promoter contains a consensus binding sequence for transcription factor Abf1p",cytoplasm,Normal,Normal,1.101,1.259,1.223,competitive fitness  decreased ,No Fluorescence detected,Responsive,Not calculated,76,163,9,1431,150,8,2176,251,16,3467,167,17,281,150,25,273,

YKL166C,TPK3,"cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; partially redundant with Tpk1p and Tpk2p; localizes to P-bodies during stationary phase; TPK3 has a paralog, TPK1, that arose from the whole genome duplication","cytoplasm,nucleus",Normal,Normal,1.116,1.217,1.24,viable ,No Fluorescence detected,Responsive,Not calculated,25,155,8,1428,145,8,2168,230,15,2530,173,14,558,140,19,553,

YGR250C,RIE1,"RNA binding protein and negative regulator of START; binds mRNA of the G1 cyclin CLN3 to stress granules for translational repression under conditions of stress; recruits the cyclin-dependent protein kinase Cdc28p to stress granules when stressful conditions are relieved, resulting in the dissolution of the granules, and resumption of translation; localizes to stress granules induced by glucose deprivation; protein abundance increases in response to DNA replication stress",cytoplasm,Normal,Normal,1.113,1.253,1.146,viable ,No Fluorescence detected,Partially responsive,Not calculated,78,154,9,1755,142,15,2712,240,17,2050,164,14,518,147,27,524,

YKL210W,UBA1,Ubiquitin activating enzyme (E1); involved in ubiquitin-mediated protein degradation and essential for viability; protein abundance increases in response to DNA replication stress,"cytoplasm,nucleus",Normal,Normal,1.082,1.216,1.231,inviable ,Responsive,Responsive,37,89,178,27,1786,149,9,2700,342,65,3365,167,16,427,145,23,416,

YOL061W,PRS5,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; forms cytoplasmic foci upon DNA replication stress",cytoplasm,Normal,Normal,1.086,1.235,1.248,viable ,Responsive,Responsive,35,72,173,14,2505,147,7,2384,284,26,3737,180,14,1071,145,21,1064,

